flight_id,route,origin,destination,departure_time,arrival_time,waypoint_count,max_altitude,max_speed,distance_km
AXM713_20250317_0,AXM713_WMKK-WSSS,WMKK,WSSS,,,117,27000.0,441.0,450.96506073691927
AXM713_20250317_1,AXM713_WMKK-WSSS,WMKK,WSSS,,,102,25050.0,387.0,403.00432564911534
AXM713_20250317_2,AXM713_WMKK-WSSS,WMKK,WSSS,,,105,25025.0,407.0,411.3397959979868
AXM713_20250317_3,AXM713_WMKK-WSSS,WMKK,WSSS,,,89,27000.0,437.0,384.4226320783969
AXM713_20250317_4,AXM713_WMKK-WSSS,WMKK,WSSS,,,122,25000.0,420.0,480.8216164404679
AXM713_20250317_5,AXM713_WMKK-WSSS,WMKK,WSSS,,,93,27000.0,442.0,383.35251165964974
AXM713_20250317_6,AXM713_WMKK-WSSS,WMKK,WSSS,,,156,27000.0,415.0,579.7994680368082
AXM713_20250317_7,AXM713_WMKK-WSSS,WMKK,WSSS,,,118,29025.0,426.0,480.47116691706464
AXM713_20250317_8,AXM713_WMKK-WSSS,WMKK,WSSS,,,119,23025.0,414.0,499.50618672237187
AXM713_20250317_9,AXM713_WMKK-WSSS,WMKK,WSSS,,,112,27025.0,399.0,440.1985368222158
AXM713_20250317_10,AXM713_WMKK-WSSS,WMKK,WSSS,,,91,25000.0,403.0,369.66672195353567
AXM713_20250317_11,AXM713_WMKK-WSSS,WMKK,WSSS,,,87,23025.0,456.0,355.7973801704333
AXM713_20250317_12,AXM713_WMKK-WSSS,WMKK,WSSS,,,97,27000.0,450.0,393.28240393399943
AXM713_20250317_13,AXM713_WMKK-WSSS,WMKK,WSSS,,,108,25000.0,409.0,414.0620384737678
AXM713_20250317_14,AXM713_WMKK-WSSS,WMKK,WSSS,,,100,30000.0,435.0,396.52314090159666
AXM713_20250317_15,AXM713_WMKK-WSSS,WMKK,WSSS,,,101,29000.0,440.0,438.74142650420526
AXM713_20250317_16,AXM713_WMKK-WSSS,WMKK,WSSS,,,103,25025.0,395.0,413.9984284540215
AXM713_20250317_17,AXM713_WMKK-WSSS,WMKK,WSSS,,,98,27000.0,407.0,402.59801440328175
AXM713_20250317_18,AXM713_WMKK-WSSS,WMKK,WSSS,,,95,25000.0,399.0,395.84122438028163
AXM713_20250317_19,AXM713_WMKK-WSSS,WMKK,WSSS,,,92,25025.0,403.0,386.1569193718229
AXM713_20250317_20,AXM713_WMKK-WSSS,WMKK,WSSS,,,99,27000.0,400.0,405.6363193000587
AXM713_20250317_21,AXM713_WMKK-WSSS,WMKK,WSSS,,,86,27000.0,433.0,364.5171853741104
AXM713_20250317_22,AXM713_WMKK-WSSS,WMKK,WSSS,,,97,25000.0,460.0,377.1872761811147
AXM713_20250317_23,AXM713_WMKK-WSSS,WMKK,WSSS,,,107,25000.0,396.0,414.3946290522917
AXM713_20250317_24,AXM713_WMKK-WSSS,WMKK,WSSS,,,116,25000.0,402.0,429.70814925135625
AXM713_20250317_25,AXM713_WMKK-WSSS,WMKK,WSSS,,,92,25025.0,408.0,382.92916639186257
AXM713_20250317_26,AXM713_WMKK-WSSS,WMKK,WSSS,,,105,29025.0,440.0,459.1202115516459
AXM713_20250317_27,AXM713_WMKK-WSSS,WMKK,WSSS,,,127,27000.0,412.0,483.07680494782005
